id,title,description,category,resolution,priority
TKT-0001,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0002,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,[Ticket] Change the nginx.conf client_max_body_size setting mapping to 50M. Happens intermittently.,High
TKT-0003,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link.,High
TKT-0004,Users reporting 500 internal ser...,Urgent: Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v4.3.2 and check application load balancer endpoints.,Critical
TKT-0005,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Urgent: Execute offboarding script to disable AD, email, and internal VPN accounts.",Critical
TKT-0006,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,Update the frontend JS polyfills supporting legacy Safari engine. This is blocking us.,High
TKT-0007,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v2.3.4 and check application load balancer endpoints. Happens intermittently.,Medium
TKT-0008,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch. Happens intermittently.,Low
TKT-0009,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Urgent: Change the nginx.conf client_max_body_size setting mapping to 50M.,Critical
TKT-0010,Database connection pool timeout...,Urgent: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,High
TKT-0011,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Issue: Regenerate Stripe API keys and update the secret manager cache.,High
TKT-0012,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository.,Access Management,Add rjohnson to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0013,Error: Deployment pipeline failing for B...,Error: Deployment pipeline failing for Billing API on EC2 instances. This is blocking us.,Infrastructure,Error: Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0014,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,[Ticket] Run REINDEX TABLE manually during off-peak hours. Please fix ASAP.,Medium
TKT-0015,Error: App crashes when uploading files ...,Error: App crashes when uploading files larger than 10MB.,Application,Error: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0016,"Employee left company, please revoke per...","Employee left company, please revoke permissions. Please fix ASAP.",Access Management,"[Ticket] Execute offboarding script to disable AD, email, and internal VPN accounts.",Low
TKT-0017,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Urgent: Execute offboarding script to disable AD, email, and internal VPN accounts.",Medium
TKT-0018,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Low
TKT-0019,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
